# cores, N, px, py, iter, T_p, Gflops, Linf, L2
24,1800,2,12,2000,1.167,155.5,9.96750e-01,6.48606e-01
48,1800,2,24,2000,0.6106,297.1,9.96750e-01,6.48606e-01
96,1800,2,48,2000,0.332,546.5,9.96750e-01,6.48606e-01
96,2000,2,48,8000,1.641,546,9.92493e-01,6.21440e-01
128,2000,2,64,8000,1.262,710,9.92493e-01,6.21440e-01
240,2000,2,120,8000,0.8166,1097,9.92493e-01,6.21440e-01
384,2000,2,192,8000,0.6678,1342,9.92493e-01,6.21440e-01
480,2000,2,240,8000,0.5647,1587,9.92493e-01,6.21440e-01

